# file...... Regulator_Reg1.csv
# date...... Mon Jun  6 13:02:31 2016
# user...... samsung
# host...... (null)
# target.... regulator 54
# trigger... (none)
# interval.. 3600
# limit..... 0
# timestamp,tap_A,tap_B,tap_C,power_in_A.real,power_in_A.imag,power_in_B.real,power_in_B.imag,power_in_C.real,power_in_C.imag,power_in.real,power_in.imag,phases
2014-07-30 00:00:00 PDT,1,1,1,+235618,-145541,+222699,-148750,+147515,-151485,+605833,-445776,ABC
2014-07-30 01:00:00 PDT,1,1,1,+419065,+90880.7,+420599,+89498.8,+300914,+62624.5,+1.14058e+06,+243004,ABC
2014-07-30 02:00:00 PDT,2,1,1,+365481,+75384.3,+332293,+63200.6,+235850,+39616.6,+933624,+178201,ABC
2014-07-30 03:00:00 PDT,2,1,1,+115579,+1278.12,+104326,+943.283,+90137.6,+1667.58,+310042,+3888.98,ABC
2014-07-30 04:00:00 PDT,2,1,1,+111292,+1117.86,+117582,+1120.82,+95260,+799.756,+324134,+3038.44,ABC
2014-07-30 05:00:00 PDT,2,1,1,+123492,+1354.1,+126241,+1433.87,+94051.3,+761.135,+343784,+3549.11,ABC
2014-07-30 06:00:00 PDT,2,1,1,+170718,+10077.3,+147433,+5375.76,+106986,+5159.07,+425137,+20612.2,ABC
2014-07-30 07:00:00 PDT,2,1,1,+392677,+75624.5,+435245,+91554.2,+278951,+52696.3,+1.10687e+06,+219875,ABC
2014-07-30 08:00:00 PDT,3,1,1,+435331,+83774.2,+422951,+84929.1,+330200,+66261.7,+1.18848e+06,+234965,ABC
2014-07-30 09:00:00 PDT,3,1,1,+307495,+43255.9,+282255,+43480.1,+181404,+20429.5,+771153,+107165,ABC
2014-07-30 10:00:00 PDT,3,1,1,+728567,+188406,+705922,+183728,+557465,+136129,+1.99195e+06,+508263,ABC
2014-07-30 11:00:00 PDT,3,1,1,+450853,-8271.44,+376410,+73167.4,+268671,-53650.9,+1.09593e+06,+11245,ABC
2014-07-30 12:00:00 PDT,3,1,1,+906562,+249479,+909707,+263073,+656246,+168797,+2.47251e+06,+681349,ABC
2014-07-30 13:00:00 PDT,4,0,1,+554505,+25018,+489651,+5619.17,+310352,-42329.1,+1.35451e+06,-11691.9,ABC
2014-07-30 14:00:00 PDT,5,1,1,+888787,+246450,+916753,+265145,+709873,+192270,+2.51541e+06,+703865,ABC
2014-07-30 15:00:00 PDT,6,0,1,+727883,+82536.6,+641349,+64624.5,+448991,-2953.81,+1.81822e+06,+144207,ABC
2014-07-30 16:00:00 PDT,7,1,1,+1.17651e+06,+357961,+1.07735e+06,+340732,+759725,+202336,+3.01359e+06,+901029,ABC
2014-07-30 17:00:00 PDT,7,1,2,+923160,+151411,+894725,+152379,+683306,+79098.6,+2.50119e+06,+382888,ABC
2014-07-30 18:00:00 PDT,7,1,2,+893117,+244454,+788963,+116632,+486559,+102284,+2.16864e+06,+463370,ABC
2014-07-30 19:00:00 PDT,6,2,2,+672989,+52869,+697004,+168061,+602737,+147816,+1.97273e+06,+368747,ABC
2014-07-30 20:00:00 PDT,7,1,1,+798168,+200901,+673846,+67961.3,+405600,-23106,+1.87761e+06,+245756,ABC
2014-07-30 21:00:00 PDT,6,2,1,+592812,+116608,+593169,+131571,+488603,+6187.5,+1.67458e+06,+254366,ABC
2014-07-30 22:00:00 PDT,5,2,1,+476470,-19158.2,+522487,+98356.2,+332988,+55660.5,+1.33194e+06,+134858,ABC
2014-07-30 23:00:00 PDT,5,2,1,+493836,+98317.3,+443021,+86145.4,+331934,+59408.4,+1.26879e+06,+243871,ABC
2014-07-31 00:00:00 PDT,5,1,1,+437014,+93376.8,+415990,+85498.3,+330529,+68164.8,+1.18353e+06,+247040,ABC
2014-07-31 01:00:00 PDT,5,0,1,+430524,+96528.7,+323042,+64387.1,+221109,+37421.9,+974676,+198338,ABC
2014-07-31 02:00:00 PDT,5,1,1,+223652,+31633,+338186,+70742.3,+187917,+31504.8,+749755,+133880,ABC
2014-07-31 03:00:00 PDT,4,1,1,+312532,+61841.4,+290019,+56391.1,+251277,+50600,+853828,+168833,ABC
2014-07-31 04:00:00 PDT,3,1,1,+304526,+60017.3,+305375,+62694.7,+267917,+54881.3,+877818,+177593,ABC
2014-07-31 05:00:00 PDT,3,1,1,+229256,+36554.9,+204921,+30412.4,+116623,+12092,+550800,+79059.3,ABC
2014-07-31 06:00:00 PDT,3,1,1,+118910,+3468.89,+115232,+3298.74,+83145.7,+2510.27,+317288,+9277.89,ABC
2014-07-31 07:00:00 PDT,3,1,1,+262345,+42338.6,+197430,+21304.7,+168927,+22740.6,+628703,+86383.9,ABC
2014-07-31 08:00:00 PDT,3,1,1,+176116,+15246.5,+212578,+24890.3,+139653,+13266.5,+528347,+53403.3,ABC
2014-07-31 09:00:00 PDT,3,1,1,+341648,+60125.9,+399536,+82995.3,+311028,+64124.5,+1.05221e+06,+207246,ABC
2014-07-31 10:00:00 PDT,3,1,1,+442786,+95818.2,+391106,+81150.3,+288214,+54820.5,+1.12211e+06,+231789,ABC
2014-07-31 11:00:00 PDT,4,1,1,+501633,+113654,+484098,+111594,+325009,+64707.4,+1.31074e+06,+289956,ABC
